Id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,etiqueta
67,c,c,b,c,b,c,a,b,c,a,c,c,c,c,c,c,a,a,a,a,cinestecico
68,a,c,a,c,a,a,a,a,c,c,c,c,c,c,c,c,a,c,b,c,cinestecico
69,c,c,b,c,b,a,a,b,c,c,a,a,c,b,c,c,a,b,b,a,cinestecico
70,a,c,a,c,a,a,a,c,c,c,c,a,c,c,c,c,a,c,b,a,cinestecico
71,a,c,a,c,a,c,b,a,c,a,a,a,c,c,a,b,c,c,c,a,visual
72,a,c,c,c,b,c,a,b,c,c,a,c,a,b,c,c,a,a,a,c,cinestecico
73,c,a,b,c,b,a,c,b,b,c,a,a,c,a,c,b,a,a,b,a,visual
74,c,c,c,c,b,c,a,b,c,a,c,a,a,a,c,c,a,a,a,a,visual
75,b,a,c,c,b,c,a,a,c,a,b,c,c,a,c,b,b,a,c,c,cinestecico
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
77,b,a,c,c,b,c,a,a,c,c,b,c,c,a,c,b,b,a,c,c,cinestecico
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
79,a,c,b,c,b,c,b,b,c,a,c,a,c,b,c,c,a,c,a,a,cinestecico
80,c,c,a,c,b,c,c,a,c,c,c,a,c,b,c,c,a,b,b,c,cinestecico
81,b,c,a,c,b,c,c,a,c,c,c,a,c,c,c,c,a,b,a,a,cinestecico
82,b,c,b,c,b,a,a,a,c,c,c,c,c,b,a,c,a,a,a,a,visual
83,a,c,a,c,b,c,c,a,c,c,c,c,c,b,c,b,a,b,a,c,cinestecico
84,c,c,b,c,a,c,a,c,c,a,c,a,a,c,c,b,a,a,c,a,cinestecico
85,a,c,b,c,b,a,a,b,c,c,c,c,a,b,c,c,a,b,c,a,cinestecico
86,b,a,b,c,b,a,a,b,b,c,c,c,c,c,c,c,c,a,b,a,cinestecico
87,b,c,a,c,b,a,a,a,c,c,a,a,c,c,c,b,b,c,b,a,cinestecico
88,c,c,c,a,b,a,a,c,c,c,c,c,a,c,c,b,a,a,a,c,cinestecico
89,b,c,c,c,b,a,c,c,c,c,c,c,c,b,a,b,a,c,b,c,cinestecico
90,b,c,b,c,b,c,a,c,c,c,c,a,a,b,c,b,a,c,b,a,cinestecico
91,a,c,a,c,b,a,a,b,c,c,c,c,a,b,c,c,a,b,c,a,cinestecico
92,a,c,a,c,b,c,a,b,c,c,c,c,a,c,c,c,c,c,b,c,cinestecico
93,c,a,c,c,b,a,a,b,c,c,a,a,c,b,c,c,b,a,a,a,visual
94,c,c,a,c,b,a,a,a,c,b,c,a,c,b,c,c,a,c,b,a,cinestecico
95,b,c,a,c,b,c,a,a,c,a,a,c,c,b,a,b,a,c,b,c,cinestecico
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
